,Opp_at_bats
1148,UNKNOWN
1149,UNKNOWN
1150,UNKNOWN
1151,UNKNOWN
1152,UNKNOWN
1153,UNKNOWN
1154,UNKNOWN
1155,UNKNOWN
1156,UNKNOWN
1157,UNKNOWN
1158,UNKNOWN
1159,UNKNOWN
1160,UNKNOWN
1161,UNKNOWN
1162,UNKNOWN
1163,UNKNOWN
1164,UNKNOWN
1165,UNKNOWN
1166,UNKNOWN
1167,UNKNOWN
1168,UNKNOWN
1169,UNKNOWN
1170,UNKNOWN
1171,UNKNOWN
1172,UNKNOWN
1173,UNKNOWN
1174,UNKNOWN
1175,UNKNOWN
1176,UNKNOWN
1177,UNKNOWN
1178,UNKNOWN
1179,UNKNOWN
1180,UNKNOWN
1181,UNKNOWN
1182,UNKNOWN
1183,UNKNOWN
1184,UNKNOWN
1185,UNKNOWN
1186,UNKNOWN
1187,UNKNOWN
1188,UNKNOWN
1189,UNKNOWN
1190,UNKNOWN
1193,UNKNOWN
1194,UNKNOWN
1195,UNKNOWN
1196,UNKNOWN
1197,UNKNOWN
1198,UNKNOWN
1199,UNKNOWN
1200,UNKNOWN
1201,UNKNOWN
1202,UNKNOWN
1203,UNKNOWN
1204,UNKNOWN
1205,UNKNOWN
1206,UNKNOWN
1207,UNKNOWN
1210,UNKNOWN
1211,UNKNOWN
1212,UNKNOWN
1213,UNKNOWN
1214,UNKNOWN
1215,UNKNOWN
1216,UNKNOWN
1217,UNKNOWN
1218,UNKNOWN
1219,UNKNOWN
1220,UNKNOWN
1221,UNKNOWN
1222,UNKNOWN
1225,UNKNOWN
1226,UNKNOWN
1227,UNKNOWN
1228,UNKNOWN
1229,UNKNOWN
1232,UNKNOWN
1233,UNKNOWN
1234,UNKNOWN
1235,UNKNOWN
1236,UNKNOWN
1237,UNKNOWN
1238,UNKNOWN
1239,UNKNOWN
1240,UNKNOWN
1241,UNKNOWN
1242,UNKNOWN
1243,UNKNOWN
1248,UNKNOWN
1249,UNKNOWN
1250,UNKNOWN
1251,UNKNOWN
1252,UNKNOWN
1253,UNKNOWN
1254,UNKNOWN
1255,UNKNOWN
1256,UNKNOWN
1257,UNKNOWN
1258,UNKNOWN
1259,UNKNOWN
1260,UNKNOWN
1261,UNKNOWN
1262,UNKNOWN
1263,UNKNOWN
1264,UNKNOWN
1265,UNKNOWN
1266,UNKNOWN
1267,UNKNOWN
1268,UNKNOWN
1269,UNKNOWN
1270,UNKNOWN
1271,UNKNOWN
1272,UNKNOWN
1273,UNKNOWN
1274,UNKNOWN
1275,UNKNOWN
1276,UNKNOWN
1277,UNKNOWN
1278,UNKNOWN
1279,UNKNOWN
1280,UNKNOWN
1281,UNKNOWN
1282,UNKNOWN
1283,UNKNOWN
1284,UNKNOWN
1285,UNKNOWN
1286,UNKNOWN
1287,UNKNOWN
1288,UNKNOWN
1289,UNKNOWN
1290,UNKNOWN
1291,UNKNOWN
1292,UNKNOWN
1293,UNKNOWN
1294,UNKNOWN
1295,UNKNOWN
1296,UNKNOWN
1297,UNKNOWN
1298,UNKNOWN
1299,UNKNOWN
1300,UNKNOWN
1301,UNKNOWN
1302,UNKNOWN
1303,UNKNOWN
